DESI_TARGETID,RA,DEC,Z,HA_BR_FLUX,HA_BR_FLUX_ERR,HA_BR_FWHM,HA_BR_FWHM_ERR,HA_NA_FLUX,HA_NA_FLUX_ERR,HA_NA_FWHM,HA_NA_FWHM_ERR,HB_BR_FLUX,HB_BR_FLUX_ERR,HB_BR_FWHM,HB_BR_FWHM_ERR,HB_NA_FLUX,HB_NA_FLUX_ERR,HB_NA_FWHM,HB_NA_FWHM_ERR,NII6548_FLUX,NII6548_FLUX_ERR,NII6583_FLUX,NII6583_FLUX_ERR,SII6716_FLUX,SII6716_FLUX_ERR,SII6731_FLUX,SII6731_FLUX_ERR,OIII4959_FLUX,OIII4959_FLUX_ERR,OIII5007_FLUX,OIII5007_FLUX_ERR,LOGLHA_BR,LOGLBOL,LOGMBH,LOGLEDD
39628427904420270,194.44894,27.40424,0.2795,192.4,6.11,840.02,153.28,5.81,4.54,446.52,10.84,,,,,0.37,0.28,441.06,20.4,22.37,0.66,66.22,1.97,10.58,0.86,7.67,0.92,21.15,0.57,63.04,1.69,41.67,44.06,6.17,-0.21
39628438599894970,193.69684,28.01445,0.0907,75.3,3.38,981.6,63.49,32.05,2.45,229.39,11.29,,,,,17.9,2.04,368.1,12.48,8.19,0.41,24.24,1.2,12.23,0.96,13.69,1.19,92.29,1.16,275.02,3.45,40.19,42.78,5.65,-0.97
39628521445788579,125.14841,32.06292,0.3934,78.99,3.14,937.71,92.58,2.15,2.34,497.25,2.98,26.56,2.97,4924.83,92.67,4.36,1.07,482.38,44.25,6.47,0.27,19.15,0.79,14.04,0.83,9.6,1.13,7.1,0.43,21.17,1.28,41.63,44.03,6.25,-0.33
39632944851062843,115.19088,33.1717,0.2548,230.07,3.6,947.68,18.69,54.23,1.97,206.91,2.99,56.24,1.3,1023.84,29.88,13.39,0.71,165.66,1.53,12.71,0.35,37.62,1.05,6.65,0.46,5.8,0.27,46.87,0.3,139.67,0.9,41.66,44.05,6.28,-0.33
39632955290683567,139.40865,33.66084,0.1729,166.72,2.36,884.29,31.6,116.45,1.86,94.1,0.9,27.57,2.15,1858.16,201.85,34.42,0.74,116.31,1.41,8.91,0.18,26.38,0.52,14.9,0.35,12.74,0.29,44.99,0.33,134.07,0.99,41.14,43.6,5.98,-0.48
39632966439142286,218.96797,34.2293,0.0449,406.29,11.99,598.71,14.09,57.13,5.37,139.75,8.23,,,,,51.37,4.97,200.69,43.24,11.07,0.88,32.76,2.59,19.56,1.91,16.77,1.87,44.36,2.65,132.18,7.91,40.28,42.86,5.25,-0.49
39632966908905289,252.77573,34.19566,0.1287,199.13,8.21,871.24,65.7,123.58,7.21,186.4,6.86,33.48,12.39,2590.09,1407.51,49.64,4.84,285.98,15.6,25.64,0.99,75.9,2.94,16.17,1.89,10.2,3.57,25.98,1.33,77.42,3.97,40.94,43.43,5.88,-0.55
39632966925683831,254.08698,34.26483,0.2203,173.84,3.66,604.94,13.13,41.46,2.05,125.38,5.36,36.97,3.45,1388.22,186.11,16.43,1.53,139.08,4.79,2.0,0.19,5.92,0.58,4.23,0.47,4.61,0.42,27.59,0.6,82.23,1.78,41.39,43.82,5.76,-0.03
39632985040880377,125.0521,35.34828,0.1435,1356.49,8.49,736.98,13.12,27.77,6.02,234.04,9.39,283.73,7.73,874.75,41.01,34.81,6.86,324.55,5.17,9.75,0.64,28.86,1.88,11.41,0.59,11.28,0.61,97.35,0.88,290.11,2.62,41.87,44.24,6.15,-0.01
39633001075704701,217.67363,35.95106,0.1682,324.11,7.8,730.33,27.45,29.29,2.73,128.48,7.98,86.19,7.72,1984.51,203.22,22.09,2.86,182.0,9.44,6.54,0.47,19.36,1.38,9.69,0.95,7.68,0.91,20.48,1.02,61.02,3.03,41.4,43.83,5.93,-0.2
39633023989186874,115.52905,37.33009,0.235,54.22,2.15,1379.57,146.36,32.39,1.08,274.41,4.49,37.47,3.62,4897.7,128.17,8.99,0.84,272.02,9.38,4.41,0.22,13.07,0.65,9.38,0.48,7.44,0.43,9.66,0.29,28.78,0.86,40.95,43.44,6.29,-0.96
39633034068099725,150.10419,37.70963,0.2795,180.51,8.39,872.05,72.77,130.49,6.84,337.67,7.83,20.57,7.83,4329.3,843.56,40.7,2.71,283.35,12.18,18.27,0.72,54.09,2.13,17.12,0.88,13.93,0.94,18.44,0.84,54.95,2.5,41.65,44.04,6.2,-0.26
39633114183501519,237.12192,41.9265,0.2205,161.1,8.78,691.75,42.52,43.51,3.58,136.44,8.84,18.7,5.18,738.39,198.84,15.32,3.18,187.76,10.01,3.7,0.49,10.96,1.46,5.6,1.05,5.67,1.02,15.18,0.66,45.24,1.97,41.36,43.79,5.86,-0.17
39633136438476920,235.78848,43.35416,0.2348,215.28,3.28,874.79,31.96,9.2,1.26,163.5,12.31,52.37,3.56,1878.92,152.42,8.16,1.87,301.62,13.78,3.18,0.3,9.42,0.87,2.94,0.74,3.15,0.48,18.67,0.61,55.62,1.83,41.55,43.96,6.15,-0.3
39633136555919253,245.49268,43.21007,0.0718,407.37,18.0,1205.6,59.75,216.78,12.06,135.63,3.76,155.92,18.69,1422.02,347.94,35.41,4.98,135.87,5.46,43.4,2.31,128.46,6.85,48.07,3.54,34.22,2.94,71.17,1.97,212.1,5.86,40.71,43.23,6.06,-0.94
39633145330403453,244.6498,43.784,0.2089,185.11,4.0,937.67,36.72,36.19,3.79,211.03,16.71,55.76,5.14,1184.92,129.21,9.76,2.05,151.29,8.02,3.52,0.4,10.41,1.19,4.09,0.81,4.0,0.85,16.56,0.84,49.35,2.49,41.37,43.8,6.14,-0.44
39633149696674956,244.64972,44.12139,0.2072,263.5,9.52,879.94,27.39,54.44,14.59,345.49,205.03,159.17,11.11,1049.28,103.36,12.61,6.95,424.41,31.53,34.67,4.61,102.62,13.64,0.05,0.45,5.18,2.53,14.29,0.85,42.58,2.53,41.52,43.93,6.14,-0.32
39633275194442864,213.93742,51.78593,0.2333,169.61,11.92,820.44,71.44,54.56,9.42,243.14,19.33,40.15,6.5,1213.69,197.66,15.42,4.77,215.95,68.24,7.38,0.65,21.83,1.92,8.01,1.84,7.08,1.49,2.29,0.58,6.84,1.73,41.44,43.86,6.05,-0.29
39633285881531943,167.6914,52.60336,0.3811,160.18,2.1,641.38,12.09,47.92,1.41,157.26,2.49,17.45,1.52,521.32,16.0,21.25,1.52,183.04,7.86,6.13,0.13,18.16,0.39,6.57,0.18,5.76,0.22,2.31,0.11,6.89,0.32,41.91,44.26,6.04,0.13
39633318978781375,240.88148,54.8421,0.3994,264.7,15.64,562.36,24.3,214.73,11.83,222.82,6.1,,,,,87.02,2.65,332.1,6.84,22.43,1.08,66.4,3.21,48.09,2.36,45.13,3.0,56.94,1.03,169.69,3.07,42.17,44.49,6.04,0.35
39633319003949540,243.66826,54.65224,0.2288,329.26,9.28,812.74,47.0,49.19,4.05,219.37,8.58,39.42,8.22,2947.74,715.75,23.3,4.01,306.68,55.54,10.77,0.73,31.89,2.15,12.4,1.19,11.74,1.22,10.33,0.97,30.79,2.9,41.71,44.09,6.16,-0.17
39633325962300396,244.49951,55.36911,0.2664,18.57,1.37,1382.31,133.24,2.75,0.46,72.58,125.43,,,,,1.63,0.38,121.26,18.45,0.09,0.07,0.25,0.21,0.45,0.38,0.3,0.16,0.99,0.12,2.94,0.36,40.61,43.14,6.14,-1.1
39633328797648959,180.6776,55.55227,0.1762,110.44,7.06,533.2,13.59,126.01,3.72,159.66,3.51,,,,,44.39,3.0,131.39,6.2,9.67,0.34,28.62,1.0,20.94,0.88,13.37,0.89,40.34,1.5,120.22,4.46,40.98,43.46,5.46,-0.09
39633338981418326,177.90875,56.22553,0.0509,1594.49,19.93,884.3,21.93,439.43,11.12,164.29,1.68,285.55,8.56,916.92,37.28,102.85,5.14,169.94,1.93,133.08,1.83,393.91,5.43,128.95,2.07,116.21,2.1,318.57,2.05,949.33,6.1,40.99,43.47,5.91,-0.54
39633365313259365,185.92839,58.24613,0.0146,4147.31,15.71,866.23,12.35,714.61,7.93,125.81,1.04,882.48,17.97,1478.42,44.36,165.44,4.18,128.32,0.81,65.81,1.13,194.8,3.36,105.89,1.86,119.83,2.0,782.65,2.85,2332.3,8.5,40.3,42.87,5.58,-0.81
39633408460065585,269.04648,61.86262,0.3899,108.85,9.23,906.7,67.12,33.75,7.39,170.28,19.0,37.32,2.75,622.46,37.83,2.09,1.38,261.3,14.98,4.46,0.5,13.21,1.48,1.98,1.17,2.7,0.91,9.05,0.42,26.97,1.25,41.76,44.14,6.28,-0.24
39633561279532092,170.73854,82.27387,0.0188,95.45,3.25,3096.98,278.87,1.57,1.46,474.14,34.37,,,,,0.49,0.45,345.56,135.67,0.77,0.44,2.29,1.29,0.44,0.36,1.13,0.45,0.16,0.16,0.49,0.48,38.88,41.65,6.09,-2.54
39633563607369660,145.08304,82.89219,0.1781,862.75,3.21,660.09,4.48,49.65,1.08,107.9,1.58,188.57,4.16,774.37,36.73,23.74,1.97,107.63,2.75,10.84,0.2,32.07,0.58,8.23,0.6,6.34,0.43,24.8,0.6,73.91,1.78,41.88,44.24,6.05,0.09
2305843018801874883,217.93158,33.02605,0.1416,765.85,28.56,780.63,61.2,251.79,19.38,243.33,7.7,127.46,20.39,569.3,51.97,109.99,23.32,345.52,21.09,32.85,1.86,97.23,5.51,46.29,2.66,32.4,2.47,76.72,3.2,228.63,9.53,41.61,44.01,6.08,-0.17
